Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
fibroxanthome | TUMEUR  À L’EXTRÉMITÉ -> DE LA FIBRE JAUNE | ome - fibro - xanth |  - +
fluoracétique | À PROPOS  DU FLUOR DE L'ACIDE ACÉTIQUE | ique - fluor - acét |  - +
fluorophotométrie | MESURE  DU FLUOR DE LA LUMIÈRE | métrie - fluoro - photo | métro (métron) - +
gastrobactérioscopie | EXAMEN  DU VENTRE DE LA BACTÉRIE | scopie - gastro - bactério | scope - gastro+
gastrobiopsie | VISION  DU VENTRE DOUBLE | opsie - gastro - bi |  - gastro+bi
gastrocoloptose | CHUTE  DU VENTRE DU CÔLON | ptose - gastro - colo |  - gastro+
gastroduodénectomie | ABLATION  DU VENTRE DU DUODÉNUM | ectomie - gastro - duodén |  - gastro+
gastroduodénite | INFLAMMATION  DU VENTRE DU DUODÉNUM | ite - gastro - duodén |  - gastro+
gastroduodénostomie | BOUCHE  DU VENTRE DU DUODÉNUM | stomie - gastro - duodéno |  - gastro+
gastroentérite | INFLAMMATION  DU VENTRE DE L'INTESTIN | ite - gastro - entér |  - gastro+
gastroentérologie | ÉTUDE  DU VENTRE DE L'INTESTIN | logie - gastro - entéro | logo - gastro+
gastroentérologue | SPÉCIALISTE / DISCOURS  DU VENTRE DE L'INTESTIN | logue - gastro - entéro | logo - gastro+
gastrofibroscope | VISIONNEUSE  DU VENTRE À L’EXTRÉMITÉ -> DE LA FIBRE | scope - gastro - fibro | scope - gastro+
gastrofibroscopie | EXAMEN  DU VENTRE À L’EXTRÉMITÉ -> DE LA FIBRE | scopie - gastro - fibro | scope - gastro+
gastromyxorrhée | ÉCOULEMENT  DU VENTRE DU MUCUS | rrhée - gastro - myxo |  - gastro+
génodermatologie | ÉTUDE  DE LA RACE DE LA PEAU | logie - géno - dermato | logo - gène+
génodysplasie | FAÇONNEMENT  DE LA RACE DU TROUBLE | plasie - géno - dys | plasmo - gène+
génodystrophie | NOURRITURE / CROISSANCE  DE LA RACE DU TROUBLE | trophie - géno - dys | tropho - gène+
génosociogramme | ÉCRITURE  DE LA RACE PARTAGÉ(E) | gramme - géno - socio | gramma - gène+
génotoxique | À PROPOS  DE LA RACE TOXIQUE | ique - géno - tox |  - gène+
géoarchéologie | ÉTUDE  DE LA TERRE ANCIEN(NE) | logie - géo - archéo | logo - géo+archéo
géobarométrie | MESURE  DE LA TERRE DE LA PESANTEUR | métrie - géo - baro | métro (métron) - géo+baro
géobiologie | ÉTUDE  DE LA TERRE DE LA VIE | logie - géo - bio | logo - géo+bio
géobiologique | ÉTUDE  DE LA TERRE DE LA VIE | logique - géo - bio | logo - géo+bio
géobiologiste | SPÉCIALISTE  DE LA TERRE DE LA VIE | logiste - géo - bio | logo - géo+bio
géobiologue | SPÉCIALISTE / DISCOURS  DE LA TERRE DE LA VIE | logue - géo - bio | logo - géo+bio
géocancérologie | ÉTUDE  DE LA TERRE DU CANCER | logie - géo - cancéro | logo - géo+cancéro
géocarcinologie | ÉTUDE  DE LA TERRE DU CANCER | logie - géo - carcino | logo - géo+carcino : cancer
géocentriste | ADEPTE / SPÉCIALISTE  DE LA TERRE DU CENTRE | iste - géo - centr |  - géo+centro
géochronologie | ÉTUDE  DE LA TERRE DU TEMPS | logie - géo - chrono | logo - géo+chrono
géochronologique | ÉTUDE  DE LA TERRE DU TEMPS | logique - géo - chrono | logo - géo+chrono
géochronomètre | MESUREUR  DE LA TERRE DU TEMPS | mètre - géo - chrono | métro (métron) - géo+chrono
géochronométrie | MESURE  DE LA TERRE DU TEMPS | métrie - géo - chrono | métro (métron) - géo+chrono
géodésique | À PROPOS  DE LA TERRE ENLEVER | ique - géo - dés |  - géo+
géodimètre | MESUREUR  DE LA TERRE DOUBLE | mètre - géo - di | métro (métron) - géo+di
géoéconomie | LOI  DE LA TERRE DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomie - géo - éco |  - géo+
géoéconomique | LOI  DE LA TERRE DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - géo - éco |  - géo+
géohydrographie | ÉCRITURE  DE LA TERRE DE L'EAU | graphie - géo - hydro | grapho - géo+hydro
géomorphogénique | DÉVELOPPEMENT  DE LA TERRE DE LA FORME | génique - géo - morpho | gène - géo+morpho
géomorphologie | ÉTUDE  DE LA TERRE DE LA FORME | logie - géo - morpho | logo - géo+morpho
géomorphologique | ÉTUDE  DE LA TERRE DE LA FORME | logique - géo - morpho | logo - géo+morpho
géomorphologue | SPÉCIALISTE / DISCOURS  DE LA TERRE DE LA FORME | logue - géo - morpho | logo - géo+morpho
géophagisme | DOCTRINE / ÉTAT / PROFESSION  DE LA TERRE MANGÉ(E) / QUI MANGE | isme - géo - phag |  - géo+phago
géosynchrone | TEMPS  DE LA TERRE AVEC | chrone - géo - syn | chrono - géo+syn
géothermique | À PROPOS  DE LA TERRE DE LA CHALEUR | ique - géo - therm |  - géo+thermo
géothermomètre | MESUREUR  DE LA TERRE DE LA CHALEUR | mètre - géo - thermo | métro (métron) - géo+thermo
géothermométrie | MESURE  DE LA TERRE DE LA CHALEUR | métrie - géo - thermo | métro (métron) - géo+thermo
gérontopsychiatrie | MÉDECIN  DU VIEILLARD DE L'ÂME | iatrie - géronto - psych | iatre - +
glucocorticoïde | APPARENCE  DU SUCRE DE L'ÉCORCE / DU CORTEX | ïde - gluco - cortico |  - gluco+
gluconéogenèse | CRÉATION  DU SUCRE NOUVEAU (-VELLE) | genèse - gluco - néo | gène - gluco+
glucoprotéide | APPARENCE  DU SUCRE DE LA PROTÉINE | ide - gluco - proté | eidos - gluco+
glucoprotéinogramme | ÉCRITURE  DU SUCRE DE LA PROTÉINE | gramme - gluco - protéino | gramma - gluco+
glycocholique | À PROPOS  DU SUCRE DE LA BILE | ique - glyco - chol |  - glyco+
glycocorticoïde | APPARENCE  DU SUCRE DE L'ÉCORCE / DU CORTEX | ïde - glyco - cortico |  - glyco+
glycogénogenèse | CRÉATION  DU SUCRE DE LA RACE | genèse - glyco - géno | gène - glyco+gène
glycogénolyse | DÉCOMPOSITION  DU SUCRE DE LA RACE | lyse - glyco - géno |  - glyco+gène
glycogénolytique | DÉCOMPOSITION  DU SUCRE DE LA RACE | lytique - glyco - géno |  - glyco+gène
glycogénopexie | FIXATION  DU SUCRE DE LA RACE | pexie - glyco - géno |  - glyco+gène
glyconéogenèse | CRÉATION  DU SUCRE NOUVEAU (-VELLE) | genèse - glyco - néo | gène - glyco+
glycoprotéide | APPARENCE  DU SUCRE DE LA PROTÉINE | ide - glyco - proté | eidos - glyco+
glycoprotéique | À PROPOS  DU SUCRE DE LA PROTÉINE | ique - glyco - proté |  - glyco+
glycosurique | À PROPOS  DU SUCRE SUPÉRIEUR(E) / DESSUS | ique - glyco - sur |  - glyco+
glycosylation | ACTION  DU SUCRE AVEC | ation - glyco - syl | ation - glyco+syn
goniodysgénésie | CRÉATION  DE L'ANGLE DU TROUBLE | génésie - gonio - dys | gène - gono (gonia)+
gynocardique | À PROPOS  DE LA FEMME DU CŒUR | ique - gyno - card |  - gyno+
hagiotoponyme | NOM  SAINT(E) DU LIEU | nyme - hagio - topo |  - +
hagiotoponymie | NOM  SAINT(E) DU LIEU | nymie - hagio - topo |  - +
halogénation | ACTION  DU SEL / DE LA MER DE LA RACE | ation - halo - gén | ation - +gène
halogénide | APPARENCE  DU SEL / DE LA MER DE LA RACE | ide - halo - gén | eidos - +gène
haplodiplobionte | VIVRE  SIMPLE DOUBLE | bionte - haplo - diplo | bio - +diplo
héliocentriste | ADEPTE / SPÉCIALISTE  DU SOLEIL DU CENTRE | iste - hélio - centr |  - +centro
héliochromique | À PROPOS  DU SOLEIL DE LA COULEUR | ique - hélio - chrom |  - +chromo
héliodermite | INFLAMMATION  DU SOLEIL DE LA PEAU | ite - hélio - derm |  - +
héliogéothermie | CHALEUR  DU SOLEIL DE LA TERRE | thermie - hélio - géo | thermo - +géo
héliophotomètre | MESUREUR  DU SOLEIL DE LA LUMIÈRE | mètre - hélio - photo | métro (métron) - +
hélioprophylaxie | PROTECTION  DU SOLEIL DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - hélio - pro |  - +
héliosismologie | ÉTUDE  DU SOLEIL DU TREMBLEMENT DE TERRE | logie - hélio - sismo | logo - +
héliosynchrone | TEMPS  DU SOLEIL AVEC | chrone - hélio - syn | chrono - +syn
héliosynchronisme | TEMPORALITÉ  DU SOLEIL AVEC | chronisme - hélio - syn | chrono - +syn
héliothermique | À PROPOS  DU SOLEIL DE LA CHALEUR | ique - hélio - therm |  - +thermo
héliothermodynamique | MOUVEMENT  DU SOLEIL DE LA CHALEUR | dynamique - hélio - thermo | dyne - +thermo
hématoblastique | À PROPOS  DU SANG DU GERME | ique - hémato - blast |  - +
hématocytologie | ÉTUDE  DU SANG DE LA CELLULE | logie - hémato - cyto | logo - +
hématoencéphalique | À PROPOS  DU SANG DU CERVEAU | ique - hémato - encéphal |  - +
hématospectroscopie | EXAMEN  DU SANG DU SPECTRE | scopie - hémato - spectro | scope - +
hématurique | À PROPOS  DU SANG DE L'URINE | ique - hémat - ur |  - +
hémiacéphale | TÊTE  À MOITIÉ SANS | céphale - hémi - a |  - +a
hémiacéphalie | TÊTE  À MOITIÉ SANS | céphalie - hémi - a |  - +a
hémiachromatopsie | VISION  À MOITIÉ SANS DE LA COULEUR | opsie - hémi - a - chromat |  - +a+chromo
hémiagénésie | CRÉATION  À MOITIÉ SANS | génésie - hémi - a | gène - +a
hémiagnosie | CONNAISSANCE  À MOITIÉ SANS | gnosie - hémi - a |  - +a
hémianesthésie | SENSATION  À MOITIÉ SANS | esthésie - hémi - an |  - +an
hémiangiectasie | DILATATION  À MOITIÉ DU VAISSEAU | ectasie - hémi - angi |  - +
hémiangiocarpe | FRUIT  À MOITIÉ DU VAISSEAU | carpe - hémi - angio | karpos : fruit - +
hémianopsie | VISION  À MOITIÉ SANS | opsie - hémi - an |  - +an
hémiasomatognosie | CONNAISSANCE  À MOITIÉ SANS DU CORPS | gnosie - hémi - a - somato |  - +a+somato
hémiasynergie | TRAVAIL  À MOITIÉ SANS AVEC | ergie - hémi - a - syn | ergo - +a+syn
hémiataxie | DISPOSITION  À MOITIÉ SANS | taxie - hémi - a |  - +a
hémiatrophie | NOURRITURE / CROISSANCE  À MOITIÉ SANS | trophie - hémi - a | tropho - +a
hémichondrodysplasie | FAÇONNEMENT  À MOITIÉ DU CARTILAGE DU TROUBLE | plasie - hémi - chondro - dys | plasmo - ++
hémichondrodystrophie | NOURRITURE / CROISSANCE  À MOITIÉ DU CARTILAGE DU TROUBLE | trophie - hémi - chondro - dys | tropho - ++
hémicryptophyte | VÉGÉTAL  À MOITIÉ CACHÉ(E) | phyte - hémi - crypto |  - +
hémicyclostome | BOUCHE  À MOITIÉ DE LA ROUE | stome - hémi - cyclo |  - +cyclo
hémicystectomie | ABLATION  À MOITIÉ DE LA VESSIE -> DE LA VÉSICULE | ectomie - hémi - cyst |  - +
hémidysesthésie | SENSATION  À MOITIÉ DU TROUBLE | esthésie - hémi - dys |  - +
hémiglossite | INFLAMMATION  À MOITIÉ DE LA LANGUE | ite - hémi - gloss |  - +glosso
hémilaryngectomie | ABLATION  À MOITIÉ DE LA GORGE | ectomie - hémi - laryng |  - +
hémimorphite | INFLAMMATION  À MOITIÉ DE LA FORME | ite - hémi - morph |  - +morpho
hémiparacousie | AUDITION  À MOITIÉ À TRAVERS / DE PART EN PART / TERMINER / INTENSE | acousie - hémi - par |  - +
hémiparaplégie | PARALYSIE  À MOITIÉ À COTÉ | plégie - hémi - para |  - +para
hémiparasite | NOURRITURE  À MOITIÉ À COTÉ | site - hémi - para |  - +para
hémiparesthésie | SENSATION  À MOITIÉ À TRAVERS / DE PART EN PART / TERMINER / INTENSE | esthésie - hémi - par |  - +
hémiptéroïde | APPARENCE  À MOITIÉ DE L'AILE | ïde - hémi - ptéro |  - +
hémisphéroïde | APPARENCE  À MOITIÉ DE LA SPHÈRE | ïde - hémi - sphéro |  - +
hémisyndrome | PISTE  À MOITIÉ AVEC | drome - hémi - syn | drome - +syn
hémitriglyphe | GRAVURE  À MOITIÉ TRIPLE | glyphe - hémi - tri |  - +
hémobiologie | ÉTUDE  DU SANG DE LA VIE | logie - hémo - bio | logo - +bio
hémobiologiste | SPÉCIALISTE  DU SANG DE LA VIE | logiste - hémo - bio | logo - +bio
hémocholécyste | VESSIE -> VÉSICULE  DU SANG DE LA BILE | cyste - hémo - cholé |  - +
hémochromatomètre | MESUREUR  DU SANG DE LA COULEUR | mètre - hémo - chromato | métro (métron) - +chromo
hémochromogène | GÉNÉRATEUR / ORIGINE  DU SANG DE LA COULEUR | gène - hémo - chromo | gène - +chromo
hémochromomètre | MESUREUR  DU SANG DE LA COULEUR | mètre - hémo - chromo | métro (métron) - +chromo
hémoconcentration | ACTION  DU SANG AVEC DU CENTRE | ation - hémo - con - centr | ation - ++centro
hémocytoblaste | GERME  DU SANG DE LA CELLULE | blaste - hémo - cyto |  - +
hémocytomètre | MESUREUR  DU SANG DE LA CELLULE | mètre - hémo - cyto | métro (métron) - +
hémocytopénie | PAUVRETÉ  DU SANG DE LA CELLULE | pénie - hémo - cyto |  - +
hémodialyse | DÉCOMPOSITION  DU SANG À TRAVERS | lyse - hémo - dia |  - +
hémodromographie | ÉCRITURE  DU SANG DU COUREUR / DE LA VOIE | graphie - hémo - dromo | grapho - +drome
hémodromomètre | MESUREUR  DU SANG DU COUREUR / DE LA VOIE | mètre - hémo - dromo | métro (métron) - +drome
hémodynamomètre | MESUREUR  DU SANG DE LA FORCE | mètre - hémo - dynamo | métro (métron) - +dyne
hémodynamométrie | MESURE  DU SANG DE LA FORCE | métrie - hémo - dynamo | métro (métron) - +dyne
hémolymphangiome | TUMEUR  DU SANG LIQUIDE DU VAISSEAU | ome - hémo - lymph - angi |  - ++
hémopéricarde | CŒUR  DU SANG AUTOUR | carde - hémo - péri |  - +péri
hémophilique | À PROPOS  DU SANG DE L'AMOUR | ique - hémo - phil |  - +philo
hémophiloïde | APPARENCE  DU SANG DE L'AMOUR | ïde - hémo - philo |  - +philo
hémopneumopéricarde | CŒUR  DU SANG DU POUMON AUTOUR | carde - hémo - pneumo - péri |  - ++péri
hémoprophylaxie | PROTECTION  DU SANG DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - hémo - pro |  - +
hémotypologie | ÉTUDE  DU SANG DE L'EMPREINTE | logie - hémo - typo | logo - +
hémotypologique | ÉTUDE  DU SANG DE L'EMPREINTE | logique - hémo - typo | logo - +
hépatoblastome | TUMEUR  DU FOIE DU GERME | ome - hépato - blast |  - +
hépatocystostomie | BOUCHE  DU FOIE DE LA VESSIE -> DE LA VÉSICULE | stomie - hépato - cysto |  - +
hépatoduodénostomie | BOUCHE  DU FOIE DU DUODÉNUM | stomie - hépato - duodéno |  - +
hépatogastrostomie | BOUCHE  DU FOIE DU VENTRE | stomie - hépato - gastro |  - +gastro
hépatomanométrie | MESURE  DU FOIE DE LA PRESSION | métrie - hépato - mano | métro (métron) - +mano
hépatonéphrite | INFLAMMATION  DU FOIE DU REIN | ite - hépato - néphr |  - +
hépatosplénographie | ÉCRITURE  DU FOIE DE LA RATE | graphie - hépato - spléno | grapho - +
hépatosplénomégalie | GRANDEUR  DU FOIE DE LA RATE | mégalie - hépato - spléno | mégalo - +
hépatosplénomégalique | GRANDEUR  DU FOIE DE LA RATE | mégalique - hépato - spléno | mégalo - +
hépatotoxémie | SANG  DU FOIE TOXIQUE | émie - hépato - tox |  - +
hépatotoxique | À PROPOS  DU FOIE TOXIQUE | ique - hépato - tox |  - +
heptasyllabe | PRISE  SEPT AVEC | labe - hepta - syl |  - +syn
hétéroatome | COUPURE  DE L'AUTRE SANS | tome - hétéro - a | tomo - hétéro+a
hétéroatomique | DÉCOUPE  DE L'AUTRE SANS | tomique - hétéro - a | tomo - hétéro+a
hétéroblastique | À PROPOS  DE L'AUTRE DU GERME | ique - hétéro - blast |  - hétéro+
hétérochromatique | À PROPOS  DE L'AUTRE DE LA COULEUR | ique - hétéro - chromat |  - hétéro+chromo
hétérochromosome | CORPS  DE L'AUTRE DE LA COULEUR | some - hétéro - chromo | somato - hétéro+chromo
hétérocytotrope | ORIENTATION  DE L'AUTRE DE LA CELLULE | trope - hétéro - cyto | trope - hétéro+
hétérogéniste | ADEPTE / SPÉCIALISTE  DE L'AUTRE DE LA RACE | iste - hétéro - gén |  - hétéro+gène
hétérogénite | INFLAMMATION  DE L'AUTRE DE LA RACE | ite - hétéro - gén |  - hétéro+gène
hétérométabole | JET  DE L'AUTRE AU-DELÀ / APRÈS | bole - hétéro - méta |  - hétéro+
hétéromorphite | INFLAMMATION  DE L'AUTRE DE LA FORME | ite - hétéro - morph |  - hétéro+morpho
hétérophytique | À PROPOS  DE L'AUTRE DU VÉGÉTAL | ique - hétéro - phyt |  - hétéro+
hétérophytisme | DOCTRINE / ÉTAT / PROFESSION  DE L'AUTRE DU VÉGÉTAL | isme - hétéro - phyt |  - hétéro+
hétéroprotéide | APPARENCE  DE L'AUTRE DE LA PROTÉINE | ide - hétéro - proté | eidos - hétéro+
hexachlorophène | APPARITION  SIX CHLORÉ(E) | phène - hexa - chloro |  - +chloro : chlore
hexahydrite | INFLAMMATION  SIX DE L'EAU | ite - hexa - hydr |  - +hydro
hexasyllabe | PRISE  SIX AVEC | labe - hexa - syl |  - +syn
hexatétraèdre | BASE -> FACE  SIX QUATRE | èdre - hexa - tétra |  - +tétra
hiéracocéphale | TÊTE  SACRÉ(E) SANS AVEC | céphale - hiér - a - co |  - +a+
hiéroglyphique | À PROPOS  SACRÉ(E) DE LA GRAVURE | ique - hiéro - glyph |  - +
hiéroglyphisme | DOCTRINE / ÉTAT / PROFESSION  SACRÉ(E) DE LA GRAVURE | isme - hiéro - glyph |  - +
hippopathologie | ÉTUDE  DU CHEVAL DE LA MALADIE | logie - hippo - patho | logo - +patho (souffrance)
hippophagique | À PROPOS  DU CHEVAL MANGÉ(E) / QUI MANGE | ique - hippo - phag |  - +phago
histomorphométrie | MESURE  DE LA TRAME / DU TISSU DE LA FORME | métrie - histo - morpho | métro (métron) - +morpho
histopathologie | ÉTUDE  DE LA TRAME / DU TISSU DE LA MALADIE | logie - histo - patho | logo - +patho (souffrance)
histopathologique | ÉTUDE  DE LA TRAME / DU TISSU DE LA MALADIE | logique - histo - patho | logo - +patho (souffrance)
histopathologiste | SPÉCIALISTE  DE LA TRAME / DU TISSU DE LA MALADIE | logiste - histo - patho | logo - +patho (souffrance)
histophysiologie | ÉTUDE  DE LA TRAME / DU TISSU DU CORPS | logie - histo - physio | logo - +physio
historadiogramme | ÉCRITURE  DE LA TRAME / DU TISSU DU RAYONNEMENT | gramme - histo - radio | gramma - +
historadiographie | ÉCRITURE  DE LA TRAME / DU TISSU DU RAYONNEMENT | graphie - histo - radio | grapho - +
histotoxique | À PROPOS  DE LA TRAME / DU TISSU TOXIQUE | ique - histo - tox |  - +
holandrique | À PROPOS  ENTIER(E) DE L'HOMME / DU MALE | ique - hol - andr |  - +andro
holoblastique | À PROPOS  ENTIER(E) DU GERME | ique - holo - blast |  - +
hololeucocrate | GOUVERNEUR  ENTIER(E) BLANC(HE) | crate - holo - leuco | crate - +
holomélanocrate | GOUVERNEUR  ENTIER(E) NOIR(E) | crate - holo - mélano | crate - +
holométabole | JET  ENTIER(E) AU-DELÀ / APRÈS | bole - holo - méta |  - +
holoprotéide | APPARENCE  ENTIER(E) DE LA PROTÉINE | ide - holo - proté | eidos - +
homéocatalexie | LECTURE  DU SEMBLABLE VERS LE BAS | lexie - homéo - cata |  - +
homochromique | À PROPOS  IDENTIQUE DE LA COULEUR | ique - homo - chrom |  - homos+chromo
homocytotrope | ORIENTATION  IDENTIQUE DE LA CELLULE | trope - homo - cyto | trope - homos+
homoépitaxie | DISPOSITION  IDENTIQUE SUR | taxie - homo - épi |  - homos+
homolactique | À PROPOS  IDENTIQUE DU LAIT | ique - homo - lact |  - homos+lacto
homophonographe | QUI ÉCRIT  IDENTIQUE DE LA VOIX | graphe - homo - phono | grapho - homos+
homophytisme | DOCTRINE / ÉTAT / PROFESSION  IDENTIQUE DU VÉGÉTAL | isme - homo - phyt |  - homos+
homopolymère | PARTIE  IDENTIQUE MULTIPLE | mère - homo - poly |  - homos+
horokilométrique | MESURAGE  DE L'HEURE MILLE | métrique - horo - kilo | métro (métron) - +
hydracide | QUI TUE  DE L'EAU SANS | cide - hydr - a |  - hydro+a
hydradénome | TUMEUR  DE L'EAU DE LA GLANDE | ome - hydr - adén |  - hydro+
hydrangée | TERRE  DE L'EAU SANS | gée - hydr - an |  - hydro+an
hydratropique | ATTIRANCE  DE L'EAU SANS | tropique - hydr - a | trope - hydro+a
hydrazoïque | ANIMAL  DE L'EAU SANS | zoïque - hydr - a |  - hydro+a
hydrencéphalique | À PROPOS  DE L'EAU DU CERVEAU | ique - hydr - encéphal |  - hydro+
hydrencéphalocèle | TUMEUR / HERNIE  DE L'EAU DU CERVEAU | cèle - hydr - encéphalo |  - hydro+
hydroagricole | CULTIVER / HABITER / RENDRE UN CULTE  DE L'EAU DU CHAMP | cole - hydro - agri | cult - hydro+
hydrobiologie | ÉTUDE  DE L'EAU DE LA VIE | logie - hydro - bio | logo - hydro+bio
hydrobiologiste | SPÉCIALISTE  DE L'EAU DE LA VIE | logiste - hydro - bio | logo - hydro+bio
hydrocéphalocèle | TUMEUR / HERNIE  DE L'EAU DE LA TÊTE | cèle - hydro - céphalo |  - hydro+
hydrochlorique | À PROPOS  DE L'EAU CHLORÉ(E) | ique - hydro - chlor |  - hydro+chloro : chlore
hydrocholécyste | VESSIE -> VÉSICULE  DE L'EAU DE LA BILE | cyste - hydro - cholé |  - hydro+
hydrocinésithérapie | MÉDECINE  DE L'EAU DU MOUVEMENT | thérapie - hydro - cinési | thérapie - hydro+cinèse
hydroclimatologie | ÉTUDE  DE L'EAU DE L'INCLINAISON -> DU CLIMAT | logie - hydro - climato | logo - hydro+
hydrocolpotomie | DÉCOUPE  DE L'EAU DU VAGIN | tomie - hydro - colpo | tomo - hydro+
hydrocyanique | À PROPOS  DE L'EAU BLEU(E) | ique - hydro - cyan |  - hydro+
hydrocystome | TUMEUR  DE L'EAU DE LA VESSIE -> DE LA VÉSICULE | ome - hydro - cyst |  - hydro+
hydroélectrolytique | DÉCOMPOSITION  DE L'EAU DE L'AMBRE -> DE L'ÉLECTRICITÉ | lytique - hydro - électro |  - hydro+électricité
hydroferrocyanique | À PROPOS  DE L'EAU DU FER BLEU(E) | ique - hydro - ferro - cyan |  - hydro++
hydrogénation | ACTION  DE L'EAU DE LA RACE | ation - hydro - gén | ation - hydro+gène
hydrogénoïde | APPARENCE  DE L'EAU DE LA RACE | ïde - hydro - géno |  - hydro+gène
hydrogénolyse | DÉCOMPOSITION  DE L'EAU DE LA RACE | lyse - hydro - géno |  - hydro+gène
hydrogéologie | ÉTUDE  DE L'EAU DE LA TERRE | logie - hydro - géo | logo - hydro+géo
hydrogéologique | ÉTUDE  DE L'EAU DE LA TERRE | logique - hydro - géo | logo - hydro+géo
